probs,0.05,0.1,0.2,0.3,0.4,0.5
I → T,,,,,,
DUCH-NR-NW,0.8682767748832703,0.843890905380249,0.845690906047821,0.8287982940673828,0.7940961718559265,0.7791820764541626
DUCH-NR-EW,0.8510831594467163,0.8514193296432495,0.861923336982727,0.8201152682304382,0.8385340571403503,0.8212804198265076
DUCH-NR-DW,0.843914270401001,0.8323008418083191,0.8442538380622864,0.8230414390563965,0.8215821981430054,0.7969356179237366
DUCH-PTC,0.8492981791496277,0.8283059000968933,0.8038976788520813,0.7399393916130066,0.7133181095123291,0.614043116569519
DUCH,0.8400730490684509,0.8223433494567871,0.7985364198684692,0.727445662021637,0.6913465261459351,0.5574967265129089
JDSH,0.8065049052238464,0.7758145332336426,0.7140607237815857,0.6200048923492432,0.5670726895332336,0.3962959051132202
DJSRH,0.707513689994812,0.6883593201637268,0.6331521272659302,0.5867575407028198,0.534214437007904,0.4267965853214264
T → I,,,,,,
DUCH-NR-NW,0.9219719767570496,0.9121599793434143,0.9076176285743713,0.8839024901390076,0.8557453751564026,0.810802161693573
DUCH-NR-EW,0.9156243801116943,0.9177316427230835,0.9020829796791077,0.896429717540741,0.8820648789405823,0.8755616545677185
DUCH-NR-DW,0.9291961789131165,0.9122136235237122,0.9089887142181396,0.8918735384941101,0.8853841423988342,0.8499405980110168
DUCH-PTC,0.9114116430282593,0.9073948264122009,0.8693752288818359,0.8506366014480591,0.7659140825271606,0.6885015964508057
DUCH,0.9251396059989929,0.905311644077301,0.881569504737854,0.8212644457817078,0.7389855980873108,0.6412575840950012
JDSH,0.8822746872901917,0.8609700202941895,0.764476478099823,0.6998972296714783,0.6035911440849304,0.4424404203891754
DJSRH,0.7514868378639221,0.7422741651535034,0.6850103139877319,0.6214660406112671,0.5218997001647949,0.4683574438095093
